policy,workload,slice_id,weight,checkpoint,ipc,cpi,committed_insts,cycles,sim_ticks,host_seconds,hnf_lookups,hnf_lookup_cv,slc_hits,sf_hits,miss_miss,clean_slc_victims,dirty_slc_victims,service_stalls,accepted_to_visible_latency,router_flits,router_stall_cycles
pseudo_random,libquantum,public_source_proxy,1.0,/home/makenma/project/xs-gem5/workloads/libquantum-0.2.4/shor-rv64-static,2.287361,0.43718503550598264,4999997.0,2185924.0,950876940.0,119.13,88968.0,0.0007165442608807314,119.0,36885.0,52083.0,0.0,0.0,7219.0,6.039900866017388,1743688.0,0.0
pseudo_random,omnetpp,public_source_proxy,1.0,/home/makenma/project/xs-gem5/workloads/omnetpp-3.3.2/rv64/bin/tokenring-rv64-static,2.233796,0.44766845316224047,4999991.0,2238338.0,973677030.0,79.58,9452.0,0.01989897240035336,634.0,658.0,8791.0,0.0,0.0,175.0,6.00835801946678,226928.0,0.0
lru,libquantum,public_source_proxy,1.0,/home/makenma/project/xs-gem5/workloads/libquantum-0.2.4/shor-rv64-static,2.287361,0.43718503550598264,4999997.0,2185924.0,950876940.0,120.45,88968.0,0.0007165442608807314,119.0,36885.0,52083.0,0.0,0.0,7219.0,6.039900866017388,1743688.0,0.0
lru,omnetpp,public_source_proxy,1.0,/home/makenma/project/xs-gem5/workloads/omnetpp-3.3.2/rv64/bin/tokenring-rv64-static,2.233796,0.44766845316224047,4999991.0,2238338.0,973677030.0,78.86,9452.0,0.01989897240035336,634.0,658.0,8791.0,0.0,0.0,175.0,6.00835801946678,226928.0,0.0
