policy,cpu,workload,instructions,cycles,ipc,cpi,l1_demand_misses,l1_demand_mpki,l2_demand_misses,l2_demand_mpki,memory_requests,memory_requests_per_ki,memory_request_definition,stalled_cycles,memory_stall_cycles,iew_stall_events
lru,0,libquantum proxy,7383977,4597700,1.6060153990038497,0.6226590359097814,77027,10.431641376997788,76928,10.418233967955208,76928,10.418233967955208,sum of private L2 demand misses,4427143,4424,5491
lru,1,OMNeT++ proxy,1949785,4597700,0.4240783435195859,2.3580548624591944,73513,37.70313137089474,12572,6.447890408429648,12572,6.447890408429648,sum of private L2 demand misses,4569660,3817314,402381
random,0,libquantum proxy,7331309,4597700,1.5945601061400265,0.627132207904482,76484,10.432516212316246,76385,10.41901248467361,76385,10.41901248467361,sum of private L2 demand misses,4424284,5297,7983
random,1,OMNeT++ proxy,2056895,4597700,0.4473747743436936,2.235262373626267,75234,36.57649029240676,12863,6.253600694250315,12863,6.253600694250315,sum of private L2 demand misses,4567551,3791349,432803
srrip,0,libquantum proxy,7400735,4597700,1.6096602649150662,0.6212491056631537,77201,10.431531462753362,77101,10.418019291327145,77101,10.418019291327145,sum of private L2 demand misses,4426145,3612,4209
srrip,1,OMNeT++ proxy,1955115,4597700,0.4252376188094047,2.3516263749191224,73575,37.63205744930605,12622,6.455886226641399,12622,6.455886226641399,sum of private L2 demand misses,4569424,3819705,423460
