policy,metric,value,random_value,delta_vs_random,percent_vs_random
lru,rnf0_weighted_mean_latency_ns,108.68993199492402,109.39730867239933,-0.7073766774753096,-0.6466125045119863
lru,rnf0_overall_p50_latency_chi_cycles,224.0,224.0,0.0,0.0
lru,rnf0_overall_p95_latency_chi_cycles,555.0,563.0,-8.0,-1.4209591474245116
lru,rnf1_transaction_accepted_count,24606,25143,-537,-2.135783319412958
lru,rnf1_transaction_completed_count,24605,25141,-536,-2.1319756572928683
lru,rnf1_transaction_right_censored_count,1,2,-1,-50.0
lru,rnf1_weighted_mean_latency_ticks,105240.15919528551,102758.25893958076,2481.9002557047497,2.415280563642134
lru,rnf1_weighted_mean_latency_chi_cycles,189.2808618620243,184.81701248126035,4.463849380763946,2.4152805636421384
lru,rnf1_weighted_mean_latency_ns,105.24015919528551,102.75825893958076,2.4819002557047583,2.4152805636421424
lru,rnf1_overall_p50_latency_chi_cycles,84.0,49.0,35.0,71.42857142857143
lru,rnf1_overall_p95_latency_chi_cycles,556.0,558.0,-2.0,-0.35842293906810035
random,rnf0_transaction_accepted_count,152592,152592,0,0.0
random,rnf0_transaction_completed_count,152576,152576,0,0.0
random,rnf0_transaction_right_censored_count,16,16,0,0.0
random,rnf0_weighted_mean_latency_ticks,109397.30867239933,109397.30867239933,0.0,0.0
random,rnf0_weighted_mean_latency_chi_cycles,196.75774941079015,196.75774941079015,0.0,0.0
random,rnf0_weighted_mean_latency_ns,109.39730867239933,109.39730867239933,0.0,0.0
random,rnf0_overall_p50_latency_chi_cycles,224.0,224.0,0.0,0.0
random,rnf0_overall_p95_latency_chi_cycles,563.0,563.0,0.0,0.0
random,rnf1_transaction_accepted_count,25143,25143,0,0.0
random,rnf1_transaction_completed_count,25141,25141,0,0.0
random,rnf1_transaction_right_censored_count,2,2,0,0.0
random,rnf1_weighted_mean_latency_ticks,102758.25893958076,102758.25893958076,0.0,0.0
random,rnf1_weighted_mean_latency_chi_cycles,184.81701248126035,184.81701248126035,0.0,0.0
random,rnf1_weighted_mean_latency_ns,102.75825893958076,102.75825893958076,0.0,0.0
random,rnf1_overall_p50_latency_chi_cycles,49.0,49.0,0.0,0.0
random,rnf1_overall_p95_latency_chi_cycles,558.0,558.0,0.0,0.0
srrip,rnf0_transaction_accepted_count,154091,152592,1499,0.9823581839152773
srrip,rnf0_transaction_completed_count,154082,152576,1506,0.987049077181208
srrip,rnf0_transaction_right_censored_count,9,16,-7,-43.75
srrip,rnf0_weighted_mean_latency_ticks,108382.82925325476,109397.30867239933,-1014.479419144569,-0.9273348964941398
srrip,rnf0_weighted_mean_latency_chi_cycles,194.93314613894742,196.75774941079015,-1.824603271842733,-0.9273348964941311
srrip,rnf0_weighted_mean_latency_ns,108.38282925325477,109.39730867239933,-1.014479419144564,-0.9273348964941354
srrip,rnf0_overall_p50_latency_chi_cycles,224.0,224.0,0.0,0.0
srrip,rnf0_overall_p95_latency_chi_cycles,552.0,563.0,-11.0,-1.9538188277087036
srrip,rnf1_transaction_accepted_count,24641,25143,-502,-1.9965795648888358
srrip,rnf1_transaction_completed_count,24641,25141,-500,-1.9887832624000636
srrip,rnf1_transaction_right_censored_count,0,2,-2,-100.0
srrip,rnf1_weighted_mean_latency_ticks,104803.17093462116,102758.25893958076,2044.9119950403983,1.9900220343775525
srrip,rnf1_weighted_mean_latency_chi_cycles,188.49491175291575,184.81701248126035,3.6778992716554058,1.9900220343775599
srrip,rnf1_weighted_mean_latency_ns,104.80317093462115,102.75825893958076,2.044911995040394,1.9900220343775483
srrip,rnf1_overall_p50_latency_chi_cycles,85.0,49.0,36.0,73.46938775510205
