phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
40,9,985,1403,1608,1076,1252,1306,604,1142,346,769,579,328,410,303,293,214,144,123,198,272,274,32,10,0,8,12,2,0,0,0,0,0,7.2982
41,9,971,1416,1597,1052,1248,1327,589,1161,342,804,524,342,408,307,278,216,150,118,195,273,284,34,10,0,8,12,3,0,0,0,0,0,7.31101
42,7,1018,1435,1619,1055,1273,1304,598,1141,353,813,540,344,405,307,298,204,145,119,193,272,273,32,8,0,5,13,3,0,0,0,0,0,7.25847
43,6,1005,1455,1606,1061,1258,1339,602,1132,356,765,538,331,418,310,300,217,143,110,203,280,260,37,9,0,7,12,3,0,0,0,0,0,7.26586
44,9,1002,1429,1623,1054,1234,1316,583,1146,343,816,515,338,422,312,298,215,130,117,198,272,279,37,10,0,7,12,3,0,0,0,0,0,7.28863
45,10,1009,1430,1611,1032,1228,1355,584,1161,344,813,509,335,424,312,279,221,144,120,193,275,270,37,10,0,8,12,3,0,0,0,0,0,7.28385
46,8,998,1426,1617,1058,1237,1353,591,1155,349,784,537,328,421,303,303,213,144,118,196,267,271,35,10,0,7,13,2,0,0,0,0,0,7.2759
47,6,985,1426,1633,1061,1253,1350,596,1146,348,804,536,327,431,300,279,229,147,111,204,262,258,37,10,0,7,13,3,0,0,0,0,0,7.26639
48,11,988,1431,1618,1041,1224,1325,580,1158,354,805,528,337,433,309,290,219,146,119,190,262,274,36,10,0,7,13,3,0,0,0,0,0,7.29341
49,11,970,1441,1577,1062,1195,1273,590,1168,356,796,539,344,438,316,295,231,137,121,186,250,284,37,10,0,7,13,3,0,0,0,0,0,7.32601
