subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
93,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
94,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
95,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
96,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
97,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
98,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
99,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
100,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
101,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
102,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
103,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
104,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
105,19,8,1,c90b6,0,1,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0
106,19,7,0,c90be,0,0,c91c0,0,0,c91b8,0,0,c91b2,0,0,c91ae,0,0
107,41,22,18,c8f30,0,8,c9c34,0,4,c9c24,0,2,c916a,0,1,c9c32,5,1
108,23,13,7,c8f30,0,7,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
109,23,14,13,c8f30,0,11,c9c34,0,1,c9c24,0,1,c8f18,2,0,c9c40,1,0
110,23,13,20,c8f30,0,20,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
111,23,13,12,c8f30,0,11,c9c34,0,1,c8f18,2,0,c9c40,1,0,c9c32,5,0
112,23,13,1,c8f30,0,1,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
113,23,13,8,c8f30,0,8,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
114,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
115,23,13,10,c8f30,0,10,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
116,23,14,5,c8f30,0,4,c9c24,0,1,c8f18,2,0,c9c40,1,0,c9c34,0,0
117,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
118,23,13,8,c8f30,0,8,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
119,23,13,9,c8f30,0,9,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
120,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
121,23,13,9,c8f30,0,9,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
122,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
123,23,13,9,c8f30,0,9,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
124,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
125,23,13,7,c8f30,0,7,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
126,23,13,9,c8f30,0,9,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
127,23,13,13,c8f30,0,13,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
128,23,13,10,c8f30,0,10,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
129,23,13,3,c8f30,0,3,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
130,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
131,23,13,12,c8f30,0,12,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
132,23,13,10,c8f30,0,10,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
133,23,13,5,c8f30,0,5,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
134,23,13,5,c8f30,0,5,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
135,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
136,23,13,11,c8f30,0,11,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
137,23,13,11,c8f30,0,11,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
138,23,13,11,c8f30,0,11,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
139,23,13,10,c8f30,0,10,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
140,23,13,10,c8f30,0,10,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
141,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
142,23,13,9,c8f30,0,9,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
143,23,13,2,c8f30,0,2,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
144,23,13,2,c8f30,0,2,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
145,23,13,5,c8f30,0,5,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
146,23,13,10,c8f30,0,10,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
147,23,13,8,c8f30,0,8,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
148,23,13,6,c8f30,0,6,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
149,23,13,4,c8f30,0,4,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0
150,22,12,0,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0,c9c12,1,0
151,22,12,0,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0,c9c12,1,0
152,22,12,0,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0,c9c12,1,0
153,22,12,0,c8f18,2,0,c9c40,1,0,c9c34,0,0,c9c32,5,0,c9c12,1,0
