Hist,count
3cf03,2
44db,2
29f6c,2
3bffe,2
297fd,2
3cfef,2
297bf,2
3cff9,2
3cfff,2
2aff0,2
44ed,2
3d070,2
3d0e1,2
3ceff,2
28f9f,2
2b4fb,2
3bfef,2
4443,2
2877d,2
2871f,2
28657,2
28625,2
3d68f,2
28403,2
3d743,2
2ba1f,2
2bbdd,2
2ad55,2
2abeb,2
aaf7,2
2aafe,2
2abef,2
2aafa,2
abff,2
2abf9,2
3c289,2
3c780,2
3c7cf,2
2aacf,2
af31,2
3c9f8,2
2bc48,2
2aaae,2
2aaad,2
3caaf,2
2aaaa,2
3cbeb,2
3c07f,2
2ae86,2
2a787,2
110a5,2
44d6,2
3ceef,2
2a0de,2
d556,2
3deff,2
25fff,2
3bd7f,2
2c7f0,2
25ed7,2
25e95,2
3df67,2
2cdfe,2
2cedf,2
3fffc,2
d043,2
2d249,2
d555,2
2bffd,2
3dffd,2
1113b,2
3bc1f,2
24bff,2
3e0e3,2
2499e,2
2497f,2
2d77f,2
23fff,2
23ffd,2
23ff8,2
840,2
3dbe5,2
bfff,2
4436,2
3d9d9,2
27f7f,2
27f77,2
c633,2
27e3e,2
3bfb7,2
3dad1,2
3dafc,2
3bf80,2
3db21,2
2beff,2
23ed7,2
4286,2
cabf,2
3bedb,2
2bf72,2
caf3,2
a7fc,2
273f5,2
2711d,2
3bebf,2
3,2
26786,2
26783,2
347cb,2
31f95,2
3fbcd,2
31fb8,2
feee,2
34ccd,2
383f2,2
19d9f,2
1b13,2
3fbdf,2
347cf,2
19fff,2
37efb,2
3fed5,2
3fbe5,2
32186,2
3fbf9,2
297a,2
1957f,2
1bfa,2
156fc,2
3fec7,2
ffe,2
1b6ad,2
1080d,2
fcaf,2
1556f,2
37df7,2
7050,2
317ff,2
1afc5,2
1aeff,2
1adbf,2
19249,2
1aaab,2
319cf,2
3fefb,2
1a3fd,2
3fb7d,2
3fb80,2
31f6b,2
1a186,2
3fef6,2
3fbbb,2
33fe7,2
3fcfe,2
32bf7,2
3fda9,2
15f2a,2
3fdad,2
33267,2
17e3f,2
3805a,2
15f5b,2
ffef,2
32bcc,2
33e7e,2
1f95,2
33979,2
37fdf,2
33c67,2
3fdf0,2
37ff9,2
3fdf3,2
3fe,2
77d4,2
3fce5,2
3fc0d,2
34610,2
381bf,2
18b11,2
381a3,2
32abd,2
188c7,2
18889,2
380ff,2
1c14,2
fd53,2
ff7f,2
18610,2
37f7f,2
fff9,2
18403,2
3fcf6,2
3fcf9,2
17ff7,2
17fcf,2
3f87e,2
3ff1f,2
36767,2
3078b,2
3f7db,2
f8d5,2
13ed9,2
1c444,2
3ffbd,2
30e3,2
3955e,2
f9a9,2
1bffd,2
3ff9e,2
307e5,2
1bfef,2
36bbf,2
37bed,2
1bfbe,2
14ff8,2
13f1f,2
3ffbb,2
1d9db,2
3794,2
39795,2
1dcde,2
7fff,2
1cfd7,2
7ff7,2
3f7f9,2
10705,2
1cf06,2
378ee,2
3055f,2
3f7df,2
3f7fd,2
10c86,2
37af1,2
1cbca,2
3ff63,2
36aad,2
31218,2
300ff,2
133c6,2
f9fb,2
f03,2
70fb,2
1b7f0,2
3135b,2
39a9f,2
1b6da,2
3ff3e,2
7fa5,2
1dfbe,2
1dff3,2
3828,2
35e87,2
153e3,2
393f1,2
35e83,2
3ff7d,2
3ff7c,2
3ffe5,2
3ff83,2
38f01,2
3ffc1,2
37f5a,1
3c3b2,1
37fba,1
37fe1,1
3be0b,1
377fc,1
3bed7,1
7156,1
37fbe,1
3be9d,1
37fcc,1
3beff,1
37fd5,1
6feb,1
3bece,1
6fff,1
3be81,1
3bfed,1
37e78,1
37e77,1
37c55,1
3bffc,1
3bfdf,1
37c5f,1
37cfb,1
3bfe6,1
36eff,1
4aff,1
37d01,1
37d2d,1
37dbb,1
3bff0,1
3bff5,1
37d4f,1
37d7f,1
37d55,1
37b9b,1
444d,1
7078,1
3bf7d,1
37f8f,1
37851,1
3bf95,1
37f6f,1
37ad0,1
3bfc3,1
37f9f,1
3c0ef,1
3c0d1,1
3bfcf,1
37baa,1
3bfdb,1
37efa,1
3c07c,1
37bff,1
3aa6f,1
3a38e,1
7626,1
3a395,1
394bd,1
3a4c2,1
3927b,1
38ff9,1
38fbf,1
38f55,1
38eff,1
38eee,1
6104,1
38ec4,1
3a38a,1
3aaaa,1
3acf9,1
38bff,1
5fd0,1
3ad3e,1
3ae87,1
3aef7,1
3af12,1
3af47,1
3af8d,1
5adf,1
387f5,1
6555,1
39e19,1
39e02,1
39e3d,1
39a23,1
37715,1
39933,1
397ff,1
39e93,1
39edb,1
397d4,1
39efb,1
39f3f,1
37555,1
387e6,1
3959b,1
39562,1
37055,1
3a038,1
3a0e0,1
3a106,1
72ab,1
3776f,1
3a189,1
7603,1
3a195,1
3a1dd,1
68de,1
3bb76,1
3bb9b,1
380f8,1
4db7,1
3bbb8,1
3bbfe,1
3bbff,1
380ef,1
3807f,1
3bc02,1
3bc07,1
3bc28,1
3bc77,1
3bb72,1
37ffe,1
6c4d,1
3bcd5,1
37ffc,1
3bd53,1
3bd78,1
3bd7a,1
0,1
6dff,1
3bdc4,1
3bdd5,1
37ff3,1
3b72f,1
5889,1
3b13e,1
3b3b3,1
387df,1
38764,1
3b52f,1
5557,1
3b5e5,1
38623,1
3b5fe,1
512b,1
3b65e,1
3b6ff,1
4d6f,1
3b77f,1
3b7b7,1
382c1,1
3b7c5,1
3828b,1
3b7cb,1
381f3,1
3b7e7,1
36f6f,1
3b97f,1
3b9bc,1
3baf8,1
3fa5b,1
3fba3,1
3fba0,1
3fb5f,1
3fb5e,1
3fb5a,1
3fb55,1
3fb52,1
3fb51,1
3fb03,1
3fbc1,1
3fa04,1
30c3,1
3f9fd,1
3f9fb,1
3f9f5,1
3f9f3,1
3f9f2,1
3f9ef,1
3fc44,1
3fdb2,1
3fdb1,1
1fbf,1
1fde,1
3fd57,1
2037,1
3fcfd,1
3fcf0,1
3fcab,1
3f993,1
3fc1b,1
3fc0f,1
2101,1
3fbfe,1
2afd,1
3fbe1,1
3fbde,1
2d6f,1
3f61f,1
37ef,1
3f7bc,1
3f7b1,1
3f7ae,1
3f783,1
3f781,1
3f77f,1
3f703,1
3f6aa,1
3f7c0,1
3f5a7,1
3f5a3,1
3f58a,1
3f555,1
3f4b6,1
3955,1
3b01,1
3b13,1
3f7f6,1
3f980,1
3f97a,1
3f956,1
3f8f9,1
3f837,1
3f81a,1
3f80f,1
3333,1
346f,1
3fdbe,1
3f7f3,1
3f7ee,1
3f7eb,1
3f7d9,1
3f7d0,1
3f7c5,1
3f7c2,1
3f7c1,1
ef0,1
b5b,1
3ffb7,1
3ffb6,1
c86,1
3ffb1,1
3ffa1,1
dfb,1
3ff9d,1
3ff95,1
3ffbc,1
3ff7e,1
efd,1
3ff76,1
3ff72,1
3ff50,1
3ff43,1
fc0,1
3ff2f,1
3ffe6,1
7,1
f,1
3fff6,1
7f,1
3fff2,1
3fff0,1
3ffee,1
1fe,1
2d6,1
3ff2b,1
3fd,1
