schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers1,642,2169170130,642000,0xc8aaa,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8aaa
1,system.guest_stack_profilers1,643,2171241165,643000,0xc8ce4,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8c60;0xc8ce4
1,system.guest_stack_profilers1,644,2172101595,644000,0xc8b0a,14,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8c60;0xc8a2c;0xc8b0a
1,system.guest_stack_profilers1,645,2173605390,645000,0xc8e28,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e28
1,system.guest_stack_profilers1,646,2175068730,646000,0xc8ab2,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8ab2
1,system.guest_stack_profilers1,647,2175894795,647000,0xc8e2c,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e2c
1,system.guest_stack_profilers1,648,2177092350,648000,0xc8cbc,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8c60;0xc8cbc
1,system.guest_stack_profilers1,649,2178206385,649000,0xc8e0a,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e0a
1,system.guest_stack_profilers1,650,2179582290,650000,0xc8da4,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8da4
1,system.guest_stack_profilers1,651,2181394935,651000,0xc8da8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8da8
1,system.guest_stack_profilers1,652,2182873935,652000,0xf39ee,14,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8c60;0xf39e4;0xf39ee
1,system.guest_stack_profilers1,653,2183878785,653000,0xc8da8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8da8
1,system.guest_stack_profilers1,654,2184975855,654000,0xc8da8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8da8
1,system.guest_stack_profilers1,655,2186041170,655000,0xc8e0c,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e0c
1,system.guest_stack_profilers1,656,2187381840,656000,0xc8a3a,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8a3a
1,system.guest_stack_profilers1,657,2189488110,657000,0xc8e0c,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e0c
1,system.guest_stack_profilers1,658,2191897575,658000,0xc8da8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8da8
1,system.guest_stack_profilers1,659,2194457115,659000,0xc8d96,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8d96
1,system.guest_stack_profilers1,660,2196782190,660000,0xc8c94,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8c60;0xc8c94
1,system.guest_stack_profilers1,661,2198316870,661000,0xc8aae,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8aae
1,system.guest_stack_profilers1,662,2199611865,662000,0xc8b26,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8b26
1,system.guest_stack_profilers1,663,2201431035,663000,0xc8a48,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8a48
1,system.guest_stack_profilers1,664,2202775620,664000,0xc8b1c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8a2c;0xc8b1c
1,system.guest_stack_profilers1,665,2205468705,665000,0xc8cda,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8c60;0xc8cda
1,system.guest_stack_profilers1,666,2207021220,666000,0xc8e16,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8d52;0xc8e16
