schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers0,0,1378545015,1,0x11516,2,0x11516;0x11516
1,system.guest_stack_profilers0,2192,1952746755,2192000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2193,1952958600,2193000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2194,1953148260,2194000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2195,1953827295,2195000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2196,1953901680,2196000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2197,1954041750,2197000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2198,1954257075,2198000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2199,1954526775,2199000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2200,1954719045,2200000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2201,1955257575,2201000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2202,1955676915,2202000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2203,1955816985,2203000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2204,1955980545,2204000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2205,1956207180,2205000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2206,1956483840,2206000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2207,1956719175,2207000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2208,1957188975,2208000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2209,1957261185,2209000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2210,1957489995,2210000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2211,1957679220,2211000,0x11512,2,0x11516;0x11512
1,system.guest_stack_profilers0,2212,1957904550,2212000,0x1151e,2,0x11516;0x1151e
1,system.guest_stack_profilers0,2213,1958187300,2213000,0x1151a,2,0x11516;0x1151a
1,system.guest_stack_profilers0,2214,1958872425,2214000,0x11512,2,0x11516;0x11512
