phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,5,1131,1553,1721,1099,1414,1298,640,1159,373,790,575,353,377,284,259,190,138,115,192,263,254,26,9,0,3,14,3,0,0,0,0,0,7.02346
1,4,838,1478,1535,1024,1413,1336,495,1133,326,805,596,461,573,376,203,232,111,113,151,171,256,36,14,4,5,14,2,0,0,0,0,0,7.29661
2,0,0,1188,552,551,1648,2122,151,604,414,0,1096,989,1478,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22098
3,0,0,991,463,463,1625,2232,145,517,347,0,1157,974,1572,1042,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42034
4,0,0,675,310,311,1578,2485,91,339,233,0,1265,920,1765,1185,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7804
5,0,0,1007,490,489,1631,2150,156,584,367,0,1139,991,1532,1018,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38785
6,0,2,533,221,250,1543,2050,330,263,179,4,1539,901,1796,1229,1,171,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,9.07523
7,0,0,0,0,0,1364,3,1364,3,0,0,2728,970,1758,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.469
8,0,0,0,0,0,1365,3,1365,3,0,0,2729,958,1772,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4646
