Hist,count
2f7df,2
cbcc,2
1fdff,2
3df67,2
2beff,2
2f7f7,2
89ad,2
3be9,2
3bedb,2
3aa7e,2
3bebf,2
1fafd,2
3a551,2
25ed7,2
1fa07,2
1fa03,2
2fb3b,2
3f03f,2
3dad1,2
1f8f0,2
2fbef,2
1f7df,2
e5e5,2
24bfb,2
dfbe,2
24bff,2
3ed7f,2
2016b,2
2ebe3,2
3bd7f,2
3dfdf,2
1fff7,2
3b3ff,2
1ffe7,2
caf3,2
2efff,2
2bf72,2
2f2bf,2
1ff7b,2
2f2ff,2
2f41f,2
2f471,2
3c5f,2
1ff3d,2
3ef7d,2
1554f,2
110a5,2
1556f,2
fcaf,2
fd53,2
fd7a,2
2aafe,2
abff,2
af31,2
3cf03,2
ffe,2
3fef9,2
3ceff,2
297bf,2
3ff1f,2
34395,2
3ff3e,2
343bb,2
3ffe5,2
3ff50,2
3ff63,2
3ceef,2
3fec7,2
3fe55,2
3fe7b,2
3d0e1,2
10caf,2
3fe7f,2
156fc,2
2877d,2
2a787,2
155ff,2
36767,2
34610,2
37f7f,2
3fed5,2
28f97,2
33e7e,2
3cff9,2
37efb,2
1bfa,2
33fe7,2
3cfef,2
3c07f,2
3ffbd,2
29f6c,2
3ff9e,2
1136d,2
44ed,2
2a0de,2
ff7f,2
113b7,2
35e5f,2
35e83,2
7050,2
13555,2
ffef,2
37776,2
fff9,2
11d71,2
37715,2
3ffc1,2
3caaf,2
375f1,2
840,2
7078,2
1113b,2
14ff8,2
feee,2
297fd,2
fffb,2
3c9f8,2
3fe,2
347d7,2
70fb,2
34ccd,2
37bff,2
2871f,2
350ef,2
37bed,2
f03,2
13f1f,2
3ff83,2
13ed9,2
2aacf,2
3cd02,2
77d4,2
2ae86,2
2aaae,2
10432,2
19d9f,2
3bff9,2
27e3e,2
3fbe5,2
1957f,2
317ff,2
19249,2
18b11,2
3fbf9,2
19dbf,2
27f77,2
18889,2
3fc0d,2
44d6,2
383f2,2
18610,2
3c3ca,2
18403,2
31fb8,2
3fce5,2
1a3fd,2
1afc5,2
278f9,2
3,2
1aeff,2
1adbf,2
aaf7,2
1aaad,2
1aaab,2
38f01,2
3d9d9,2
28657,2
3bfef,2
3fb7d,2
1a3e7,2
1a3e5,2
3fb80,2
1a186,2
19fff,2
27c67,2
3fffc,2
297a,2
2abf9,2
10c86,2
17a0f,2
3fdd0,2
ff,2
32bcc,2
3fdeb,2
28403,2
32bf7,2
3fdf3,2
3fdf6,2
3fcf9,2
33267,2
1f0f,2
33355,2
1ebf,2
37ff9,2
28625,2
15f5b,2
15f2a,2
2abef,2
44db,2
3c780,2
17fcf,2
381bf,2
3fcfe,2
1080d,2
f8d5,2
3fcff,2
32186,2
381a3,2
3fdad,2
17e3f,2
1f95,2
f9a9,2
2adef,2
27fff,2
3d53f,2
32abd,2
3bc77,1
3c339,1
3bcd5,1
3c3b2,1
3bc28,1
3bc62,1
36c55,1
3bfed,1
4db7,1
3bf7d,1
4686,1
4aff,1
3bf95,1
4d6f,1
3bffc,1
3bfbf,1
3bfc3,1
3c07c,1
3bfcf,1
3bfdb,1
3bff5,1
3bff0,1
3bfdf,1
3c3df,1
3bfe6,1
3bd53,1
