Hist,count
94a5,4
1edfe,4
3ffd5,4
3d7f9,4
2aaf3,4
2abc7,4
3ffcd,4
94ff,4
177ff,4
13b35,4
977f,4
3beff,4
3b7f9,4
bf5f,4
3dbd3,4
1754b,4
2af55,4
173e7,4
1ede7,4
c155,4
1e0ef,4
2b2cb,4
3dbfd,4
77fe,4
9267,4
3dffd,4
3aaab,4
3cb9f,4
27837,4
3e51f,4
3caab,4
12fdf,4
2dea7,4
3180b,4
3c55d,4
31218,4
17ebf,4
26bfe,4
2dfeb,4
2e55a,4
2dfff,4
2e17f,4
26aff,4
39ea7,4
152fb,4
39bfe,4
30dc7,4
39a92,4
12fff,4
d55b,4
322b7,4
2bf17,4
d6a1,4
31dff,4
3b352,4
3afff,4
31caf,4
14dbd,4
3cebb,4
341c1,4
924a,4
16596,4
2d0ef,4
3dfbd,4
3577f,4
15fff,4
19dff,4
a4a5,4
3c1df,4
33bff,3
13feb,3
1ff57,3
125ff,3
32aab,3
31110,3
1f96f,3
1f9fb,3
31819,3
14eb1,3
154be,3
3181b,3
1fa03,3
1defe,3
306af,3
1fb56,3
2fff3,3
3037e,3
14a52,3
1dfff,3
32be5,3
1fbe1,3
32d6f,3
1dbe3,3
15554,3
32fff,3
1feff,3
2d555,3
28b03,3
16fdf,3
16bfe,3
16ab5,3
2877d,3
2be0a,3
2bf13,3
2bfe1,3
2c1be,3
28383,3
2bc02,3
27eff,3
27ebd,3
15fe3,3
2dc76,3
27dbd,3
27477,3
27111,3
2dfdf,3
2dffe,3
29e76,3
17f97,3
2aa8b,3
2aabc,3
181f3,3
182ab,3
2a96b,3
2aaee,3
188c7,3
29f96,3
2e303,3
29b7b,3
29ad6,3
2acc7,3
1915b,3
2afff,3
170bf,3
2baa5,3
19555,3
1700b,3
20f3f,3
2fddd,3
1bfbf,3
1bfcf,3
1bfdc,3
1bffb,3
2fdf1,3
2fdf8,3
1c175,3
155df,3
2fdfd,3
1bf7f,3
2feea,3
2fefd,3
20ec9,3
20e3f,3
1c6e3,3
202af,3
1cdc7,3
1cf9f,3
1fffe,3
2f534,3
269d3,3
25fbf,3
2e7ff,3
253fe,3
1abff,3
252e3,3
1ad6b,3
24aae,3
24977,3
2ffef,3
2f7f7,3
2492e,3
15773,3
2456f,3
23f03,3
15726,3
1bbfd,3
2380b,3
22b7f,3
37fe3,3
77ff,3
beab,3
3bd7,3
37f75,3
3e7ff,3
3f9ff,3
37fde,3
3bd70,3
3ea52,3
fd7f,3
395f,3
fd56,3
3f9f3,3
c0ef,3
c201,3
f6e7,3
776a,3
3bd47,3
463a,3
3f7e5,3
3fcff,3
3bf7e,3
3bf7c,3
3dffb,3
3fd67,3
3bf78,3
377fb,3
37a8f,3
11555,3
3dffe,3
48d1,3
3e275,3
3e2a9,3
37d53,3
3fbd9,3
3e356,3
3fb77,3
3faf7,3
7862,3
fffb,3
3a9ef,3
39dff,3
3f61f,3
e738,3
3f5ff,3
39fad,3
6fb1,3
3f5fd,3
3ef95,3
3b7ff,3
3efac,3
399f3,3
d3a7,3
3ab7e,3
3abbf,3
3ad1f,3
3efd5,3
dc66,3
3afd0,3
3affd,3
3eff7,3
3f740,3
4d5f,3
3ebfb,3
3f7d5,3
386e3,3
3f7ca,3
76e3,3
3f7af,3
38abb,3
3bc0f,3
3fbf5,3
c6e3,3
ef41,3
3f6f0,3
3ebff,3
38dcf,3
38f37,3
3bbbf,3
3ee37,3
3973e,3
35a85,3
157d,3
3ff36,3
3cbff,3
13201,3
1baf,3
32ba,3
3ff1f,3
a7fc,3
3fee1,3
35559,3
35ad5,3
3fedf,3
924f,3
35bfd,3
12bff,3
924d,3
35edb,3
35ef0,3
351dd,3
97af,3
3f,3
3fff0,3
5c7,3
955d,3
3dabe,3
3dbdf,3
3ffb7,3
3df0b,3
3ffab,3
13ac5,3
3ff82,3
92f7,3
3ff7e,3
3ff74,3
1357f,3
3ff6f,3
36fef,3
3dfef,3
3fe55,3
37183,3
124b3,3
124b5,3
370c3,3
36ff6,3
36ff5,3
36fbb,3
3bfb7,3
12670,3
3bfef,3
35ffb,3
1e7e,3
35fe5,3
3bff3,3
3bff9,3
3bffe,3
3feb3,3
296ad,2
24c70,2
24e2f,2
29a69,2
29a00,2
27ff9,2
24c60,2
3e6bf,2
3dbf5,2
26faf,2
25292,2
27dfc,2
3ef7f,2
2877a,2
3d925,2
3e6ca,2
27e5b,2
3efc7,2
24b33,2
3efc9,2
3efcf,2
29c3b,2
3dfdb,2
29d3b,2
249a3,2
3efef,2
2499e,2
3dfdf,2
3e7fd,2
28dd1,2
3ebd0,2
3df15,2
3ea93,2
25d6f,2
27ff7,2
25959,2
3dfd7,2
3df01,2
257ff,2
2766a,2
28955,2
3defb,2
3e303,2
3dea6,2
3dcf5,2
28e2f,2
25659,2
3f6ff,2
27833,2
3df8a,2
3dddf,2
27a98,2
3eeef,2
29252,2
3ef27,2
3ef7d,2
3df77,2
26fef,2
3fdfd,2
3fec3,2
1fbfd,2
3feb5,2
1fc63,2
1fc75,2
1fdd5,2
1fdf0,2
1fdfb,2
1fe7e,2
3feaf,2
3fe95,2
3fe87,2
3fe1f,2
1fbf1,2
3fdfb,2
1ffdf,2
3fdc3,2
1ffe7,2
3fd8f,2
1fff1,2
3fd62,2
3fd07,2
1fffd,2
3fc7f,2
3fc0f,2
3fbeb,2
1f011,2
343bb,2
1ea74,2
1eab1,2
1edcf,2
3ffe3,2
3ffdd,2
3ffd7,2
1ef07,2
1efef,2
1f00b,2
3ffc7,2
3ffa9,2
3fba1,2
1f0b0,2
1f156,2
3ff63,2
1f975,2
3ff59,2
1faad,2
3ff31,2
1fb3f,2
1fb55,2
3ff2f,2
3ff1a,2
3fefc,2
3f577,2
22c0d,2
3f6a3,2
23017,2
23037,2
2303d,2
2331b,2
23333,2
237ff,2
23837,2
3f5fe,2
23cdd,2
23ef7,2
23efb,2
1ea68,2
3f573,2
23ffd,2
3f549,2
3f3fe,2
24927,2
3f2eb,2
3f183,2
24931,2
3f0ff,2
3f015,2
3effb,2
24973,2
21555,2
3fb7f,2
2017b,2
202fe,2
3fad4,2
206e3,2
3fab3,2
20dc7,2
20e2f,2
3faa4,2
3fa0f,2
20efa,2
20fff,2
2497f,2
3f9b2,2
3f98f,2
3f947,2
21dff,2
21fd5,2
3f814,2
3f7fd,2
3f7e1,2
22555,2
226af,2
226b5,2
3f752,2
37bfb,2
37f42,2
2fdc0,2
2fdd0,2
37f17,2
37ef8,2
37eea,2
37ea9,2
37ea5,2
37e81,2
37e5d,2
37e0a,2
37d79,2
37c5f,2
37c31,2
37f6f,2
2fe2f,2
37bd9,2
37baf,2
37afa,2
37ae1,2
2ff6e,2
377ef,2
377ee,2
2ffab,2
377ed,2
37719,2
2ffca,2
2ffdb,2
2f555,2
38c0c,2
2ebff,2
389d7,2
387ff,2
3877b,2
386f3,2
3861a,2
2f249,2
2f4d0,2
3855e,2
2f51f,2
383ff,2
38357,2
382cd,2
371c6,2
381bf,2
380ab,2
2f7df,2
2f835,2
2f8ab,2
37ff3,2
2fc0d,2
2fc55,2
37fd5,2
37fac,2
2fd03,2
37f7f,2
37f7e,2
34e2f,2
355a9,2
35594,2
3555c,2
32525,2
32bae,2
3536f,2
352bd,2
32cab,2
3523b,2
32eb7,2
32ff9,2
33355,2
3521b,2
34fff,2
35667,2
33d4f,2
33f00,2
34d00,2
34cb3,2
33f7f,2
33fef,2
33ffb,2
34bf7,2
347ff,2
3406f,2
34070,2
3410f,2
34689,2
35ad6,2
2ffe7,2
371b3,2
2abc6,2
36a4b,2
300bb,2
36186,2
30173,2
3017f,2
35fd3,2
35f8b,2
35ef5,2
30807,2
30abd,2
35ecb,2
2ebb5,2
30fe3,2
30fff,2
31555,2
3175c,2
317bb,2
35a55,2
357ff,2
357fe,2
357f9,2
3181d,2
31bff,2
3570a,2
31dcf,2
3bf15,2
2aad5,2
2aaea,2
2aaeb,2
3bf81,2
3bf7b,2
2ab24,2
2ab52,2
2ab93,2
2abaf,2
3bf76,2
3bf75,2
2abcc,2
3bf70,2
3bf6f,2
2aac5,2
3bf0b,2
2ae2f,2
3be55,2
3be27,2
2aed7,2
2af30,2
3bdf7,2
2af33,2
2aff1,2
3bd4d,2
2b463,2
2b47d,2
3bc1e,2
2a9fd,2
29ffb,2
3d7b2,2
29fff,2
2a195,2
2a3bb,2
3d557,2
3d4f0,2
2a525,2
3d4eb,2
3d4e1,2
3d4d0,2
2a7f5,2
3d4a2,2
3d071,2
2b7f5,2
3cfff,2
2aa2b,2
2aa5f,2
3cdc7,2
2aaa3,2
3caa9,2
2aaad,2
3c6ad,2
3c3ff,2
2aab3,2
3c2af,2
3c1de,2
3c143,2
39ffd,2
3afe9,2
2d036,2
2d53f,2
2d553,2
3af6f,2
2d557,2
2d686,2
2db7b,2
2dbea,2
3ab33,2
3aaae,2
3a994,2
2dfbb,2
3a680,2
2ceff,2
2dfe7,2
2dfee,2
39f3f,2
39f3e,2
2e186,2
39b25,2
2e39b,2
2e463,2
3956b,2
2e7b7,2
2eb7f,2
38dc7,2
38c1b,2
2bdef,2
2b7fd,2
2b85f,2
2b955,2
2bb52,2
3bc02,2
3bab5,2
2bbea,2
3b9ea,2
3b8dd,2
3b8db,2
2bd8b,2
3b861,2
2bdb7,2
2bdea,2
3d7f4,2
3b7fd,2
3b6c5,2
2beef,2
2befd,2
3b555,2
3b554,2
2bfa7,2
3b4be,2
3b3bf,2
2bff7,2
2cacb,2
2cb2b,2
3affb,2
92ef,2
98c3,2
97ff,2
9555,2
17b17,2
17bd4,2
931c,2
9318,2
17ef5,2
17ffe,2
92f3,2
9abf,2
9292,2
927f,2
8e2f,2
889d,2
7ffd,2
19333,2
193ef,2
19492,2
196b7,2
77ae,2
169f7,2
16595,2
be31,2
bafb,2
badf,2
b5ef,2
b5bf,2
b55a,2
b555,2
aeff,2
168ff,2
7775,2
ab80,2
16b5f,2
16dfd,2
ab15,2
aaee,2
aaaf,2
aaab,2
a5fb,2
174d1,2
175bf,2
3bff,2
56ff,2
55f7,2
1b7fe,2
52fd,2
444e,2
4442,2
3ffe,2
1bf68,2
1bf7e,2
3ffd,2
1b292,2
1c14b,2
3bef,2
3bdb,2
1c2af,2
1c2ff,2
383f,2
3837,2
37bb,2
1c606,2
3730,2
1aab3,2
7755,2
1a74f,2
706e,2
6ffe,2
1aaa7,2
1aaa9,2
6ebd,2
6dc6,2
1aaad,2
1aaae,2
16559,2
6891,2
67a9,2
64a7,2
1ab55,2
6253,2
6186,2
6100,2
1afbf,2
1b252,2
5c70,2
154ed,2
14d6b,2
fff3,2
fff0,2
15155,2
ffb0,2
fdfe,2
fd7a,2
fcb1,2
fbc9,2
fb7b,2
10707,2
f5ef,2
15515,2
f531,2
1554f,2
f066,2
effc,2
effa,2
efd7,2
1557f,2
155c9,2
1252f,2
12f5f,2
12f33,2
12abe,2
12abb,2
1294a,2
135ad,2
13cec,2
125ef,2
13fbf,2
125af,2
155dc,2
14581,2
1479b,2
1249f,2
1231b,2
12186,2
11d71,2
14925,2
118d5,2
1494a,2
14aff,2
15e60,2
15a90,2
dcc3,2
15c98,2
15c99,2
d7fd,2
15d6a,2
d6bf,2
d5ff,2
15df5,2
15dff,2
dff3,2
15eab,2
d000,2
15f2f,2
15f7f,2
cf53,2
15f95,2
15ffe,2
16243,2
16355,2
bf7f,2
15753,2
edc7,2
155de,2
155e6,2
155f0,2
155fb,2
ec9f,2
15659,2
ebbf,2
ebb5,2
15752,2
1,2
e862,2
1575e,2
e7eb,2
1577b,2
15783,2
1578f,2
15890,2
15a06,2
15a35,2
dfff,2
1cd55,2
d7d,2
dff,2
1f,2
7,2
16bf,2
1c71b,2
1c63,2
1dd4b,2
3bb,2
407,2
ba3,2
1e7eb,2
1ea3e,2
1dff7,2
1de83,2
f,2
1ea47,2
1ea5f,2
80f,2
203,2
2c35,2
1ea3b,2
1da92,2
3a97f,1
e0dd,1
e0bd,1
3a9a9,1
3a5ef,1
3a3bf,1
3a9bb,1
3a9c3,1
e0a1,1
3a386,1
101c,1
101f,1
14d4,1
3a949,1
3a621,1
3a645,1
3a7ea,1
3a91d,1
3a8ee,1
3a8d5,1
3ff89,1
3a170,1
fff,1
3a687,1
3a891,1
3a7f5,1
3afbb,1
3aca3,1
dd55,1
3adb7,1
3ae59,1
3aeff,1
3af41,1
3ff7a,1
dc73,1
3ff7b,1
3afbf,1
dbff,1
db52,1
d94b,1
d949,1
3ff75,1
d7df,1
3a9d7,1
3ac48,1
3abff,1
3abf0,1
dda9,1
df63,1
3ab5a,1
df97,1
3aaf5,1
dfa0,1
3aaad,1
3ff7d,1
3aaaa,1
dffe,1
14bf,1
3a9e1,1
3975f,1
3927e,1
39545,1
e0f,1
fc0,1
395ff,1
39649,1
39735,1
eb8b,1
3924f,1
397c9,1
397ff,1
eab5,1
e9d9,1
39a9d,1
39ab9,1
39aff,1
3ffa7,1
ebe3,1
38ffe,1
3ffb0,1
ed55,1
38eff,1
3ffb1,1
dfb,1
ed77,1
3ffb8,1
3ffbd,1
dfa,1
3ffc0,1
38ee2,1
ee58,1
38eab,1
39ff7,1
39ebf,1
e6e3,1
e577,1
39f79,1
39f7f,1
39f80,1
e3e7,1
e3c9,1
e7af,1
e227,1
e1bd,1
3ff8f,1
39ffe,1
39fff,1
3a022,1
3a077,1
3a0e3,1
3ff95,1
39ea6,1
39ea5,1
39e0c,1
3ff97,1
39d77,1
39cf5,1
3ff98,1
39ce7,1
39c79,1
ff0,1
39b8f,1
fd5,1
39b29,1
e9a7,1
3bec3,1
3ff33,1
3be35,1
bf05,1
1b8e,1
3bea9,1
1bec,1
3bead,1
3beb7,1
bfe3,1
3ff28,1
3bf03,1
bde0,1
bd7f,1
3bf27,1
3bf2e,1
3bf3f,1
3bf57,1
3be15,1
3bdfd,1
c05d,1
3bdaa,1
3bd92,1
3bd87,1
3bd7d,1
c0dd,1
1afb,1
c3b5,1
3ff3d,1
c3fe,1
c463,1
3bd07,1
c51b,1
b0d5,1
3ff15,1
3ff05,1
3bfc1,1
3bfcf,1
3ff04,1
b249,1
b13e,1
3bfee,1
3bfaf,1
3bff0,1
3bff2,1
afc5,1
3bff5,1
3bff6,1
1c14,1
aefe,1
c607,1
3bf8b,1
1bff,1
b5ff,1
b8c0,1
b8e0,1
b9ab,1
ba30,1
ba89,1
3bf77,1
1bfa,1
3bf74,1
bc55,1
bd56,1
3bf6c,1
3bf6a,1
3b5f9,1
3b54f,1
3b552,1
d5f1,1
3b557,1
3b575,1
3b57d,1
3b5bf,1
3b5de,1
3b525,1
3b5fb,1
d5ca,1
3b7a7,1
3b7da,1
3b7dd,1
3b7df,1
3b7e1,1
3ff61,1
3b4fc,1
3ff69,1
1570,1
3b3f3,1
d71d,1
3b355,1
38db5,1
3b1dc,1
3b0fd,1
3b0f9,1
3b0e5,1
3b0b0,1
3b03f,1
d7ec,1
3ff70,1
3ff56,1
c6ae,1
c7ad,1
3bbff,1
1af7,1
c94f,1
cb3d,1
cb5b,1
3bb8c,1
cdc6,1
3ba97,1
3ba21,1
cf3a,1
3b9ce,1
3b942,1
1a97,1
d933,1
3ff57,1
1955,1
3ff5b,1
d043,1
3b8bb,1
3b86f,1
d0ee,1
d349,1
d4bf,1
d553,1
d554,1
17f7,1
17f5,1
d56b,1
3b7ea,1
3fff4,1
370de,1
37176,1
1249d,1
123b5,1
371b7,1
