count,address
6,2c672
2,2841a
2,2c390
1,2cfea
1,2d06a
1,2cd6c
1,2c724
1,2c680
1,2bf9a
1,2bd92
1,2bce4
1,2b5c0
1,2b526
1,2b40c
1,2af88
1,2a16c
1,2a11e
1,2a05c
1,2a002
1,29fda
1,295b6
1,28870
1,2886c
1,28530
1,40cc4
1,108b2
1,4edd8
1,4eae0
1,4e99e
1,4e92a
1,4a0f2
1,488bc
1,47a30
1,44bc8
1,43128
1,420a4
1,58206
1,3f742
1,3f700
1,39d6c
1,39a0c
1,39900
1,398a0
1,39784
1,36ec8
1,365c0
1,2d154
1,174c0
1,20b78
1,1fc24
1,1f970
1,1f932
1,1bafa
1,1b72c
1,1b498
1,1b400
1,1b33c
1,1b07e
1,1ab56
1,20bc4
1,17280
1,17226
1,16fd4
1,14be0
1,13b74
1,13952
1,13880
1,10dc0
1,10d6c
1,1090a
1,26b86
1,28400
1,2831e
1,2779c
1,2778c
1,27786
1,27760
1,274f0
1,274ec
1,274e4
1,274dc
1,2743c
1,28496
1,26088
1,25376
1,249e4
1,23f80
1,2376e
1,22f0e
1,221ac
1,22196
1,20d38
1,20c0c
