phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,4,1123,1550,1709,1096,1402,1300,641,1158,370,790,576,355,372,290,266,194,138,114,191,262,253,26,9,0,3,14,3,0,0,0,0,0,7.03779
1,4,837,1477,1532,1031,1413,1324,505,1127,330,801,593,447,581,377,198,237,113,113,151,171,260,35,15,3,6,14,2,0,0,0,0,0,7.30087
2,0,0,1184,552,551,1650,2107,158,610,414,0,1096,1016,1451,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22368
3,0,0,1001,463,463,1627,2249,132,509,347,0,1157,978,1568,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41397
4,0,0,678,310,311,1579,2482,99,336,233,0,1265,958,1729,1186,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77347
5,0,0,1011,491,489,1631,2162,142,583,367,0,1140,990,1533,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38645
6,0,2,523,221,250,1543,2013,363,267,179,5,1539,982,1715,1231,1,172,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,9.08018
7,0,0,0,0,0,1365,3,1365,3,0,0,2730,973,1757,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4635
8,0,0,0,0,0,1364,3,1364,3,0,0,2728,952,1776,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4701
