phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,0,991,1346,1434,1002,1241,1145,565,1168,304,824,644,350,470,360,376,300,284,184,278,332,356,80,54,40,24,42,9,2,3,1,0,0,7.03779
1,0,785,1386,1383,1024,1360,1114,623,1130,293,790,688,307,726,416,251,305,167,132,182,201,301,56,27,8,12,22,6,1,1,0,0,0,7.30087
2,0,0,1184,552,551,1648,1084,1092,701,414,0,1096,275,2192,957,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22368
3,0,0,1001,463,463,1627,1178,1153,559,347,0,1157,232,2314,1043,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41397
4,0,0,678,310,311,1579,1287,1263,366,233,0,1265,155,2532,1187,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77347
5,0,0,1011,491,489,1630,1114,1137,637,367,0,1140,245,2278,1017,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38645
6,0,2,521,221,247,1542,1058,1300,282,179,3,1541,119,2578,1231,2,171,3,1,4,2,0,3,1,2,0,0,0,0,0,0,0,0,9.08018
7,0,0,0,0,0,1365,3,1365,0,0,0,2730,0,2730,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4635
8,0,0,0,0,0,1364,3,1364,0,0,0,2728,0,2728,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4701
