Hist,count
3b7fd,3
3b643,3
3b5a3,3
3affd,3
3afd0,3
3a555,3
3c1fb,3
37fe7,3
37fcf,3
37dff,3
37df7,3
37af1,3
3f862,3
36f81,3
35ffb,3
3e7ff,3
3efdf,3
3efbe,3
3ef5e,3
3ef07,3
3eeb1,3
3ebff,3
3ebc7,3
3eb47,3
35a7d,3
3e0e3,3
3f3f7,3
3dffd,3
3dfdf,3
3d9db,3
3d7a3,3
3cacd,3
2711d,3
2aafa,3
2aaf3,3
2aadf,3
3fdfd,3
3fdfe,3
27fff,3
27f7f,3
27c67,3
3fdeb,3
264cf,3
25f53,3
3fe7f,3
21957,3
207ff,3
2040f,3
1fff9,3
3fcff,3
35a3e,3
3fbe5,3
30ec9,3
303c0,3
2ffff,3
2fffd,3
2ff7d,3
2fd01,3
3fefd,3
2faff,3
2dffe,3
3fd81,3
2cecf,3
2c9ff,3
2beff,3
2abeb,3
f1f3,3
b111,3
8403,3
32af,3
2100,3
8886,3
4edf,3
38c3,3
fc7d,3
aaad,3
d556,3
f498,3
a186,3
f03f,3
77fe,3
dfd,3
e14b,3
9555,3
6fdf,3
7fb,3
3f,3
efa7,3
6f2a,3
9c47,3
1f,3
9dbe,3
2ff99,2
8618,2
2ff3f,2
2ffb5,2
2feff,2
2fdc5,2
2cdfe,2
2ffbf,2
2d555,2
2fbf0,2
2c7f0,2
2cedf,2
2fb3b,2
2f7df,2
2f41f,2
2f2ff,2
2f2bf,2
2efff,2
2d1f3,2
3078b,2
2eff1,2
2ebe3,2
9267,2
2dbff,2
2d249,2
2d77f,2
2d72f,2
35e83,2
33e7e,2
33fe7,2
34070,2
34395,2
347cb,2
350ef,2
77d4,2
35e5f,2
33979,2
36767,2
70fb,2
37555,2
375f1,2
37715,2
37776,2
70e1,2
7050,2
31218,2
7fff,2
7ff7,2
300ff,2
7fa5,2
3055f,2
2bc48,2
307e5,2
30ce7,2
2fff7,2
3135b,2
31f6b,2
31f95,2
31fb8,2
32186,2
32abd,2
32bf7,2
33267,2
2497f,2
22227,2
2226d,2
22276,2
d043,2
23b7d,2
23e5f,2
23ed7,2
23ff8,2
23ffd,2
2214b,2
2499e,2
24bff,2
cbcc,2
caf3,2
cabf,2
25ed7,2
26783,2
26786,2
1fff7,2
10705,2
1fd55,2
1fdff,2
1ff3d,2
1ff55,2
1ff7b,2
1ffe7,2
ec4d,2
bfff,2
e5e5,2
2016b,2
dfbe,2
2070f,2
dbfe,2
2100f,2
2101b,2
db7f,2
2aff0,2
aaf7,2
2aacf,2
2aafe,2
2abef,2
2abf9,2
2adef,2
2ae86,2
2af95,2
2aaae,2
2b4fb,2
2ba1f,2
1fafd,2
2bd0e,2
2bf72,2
97fa,2
2bfef,2
2bffd,2
2871f,2
273f5,2
27833,2
27867,2
27e3e,2
27f77,2
28403,2
28625,2
28657,2
2c4d6,2
2877d,2
28f9f,2
af31,2
297fd,2
29f6c,2
2a0de,2
2a787,2
abff,2
3f7df,2
3838,2
3f555,2
3f5d0,2
3828,2
3f6bf,2
3f740,2
3794,2
3f7ad,2
3f7be,2
3f3fb,2
3f7f0,2
3f7f9,2
3f7fd,2
297a,2
3fb52,2
3fb7d,2
3fb80,2
3fbdf,2
3ed7f,2
3e4fc,2
3ffb,2
3e781,2
3e80e,2
3ea7f,2
3e3f,2
3ec7f,2
3ed68,2
3c5f,2
3fbf9,2
3be9,2
3ef35,2
3ef5a,2
3955,2
3f1f9,2
3f27e,2
3f2bd,2
38e3,2
3ffb7,2
3ff1f,2
3ff3e,2
3ff63,2
ef0,2
3ff76,2
3ff7c,2
3ff7d,2
3ff83,2
3ff9e,2
f03,2
840,2
3ffbd,2
3ffc1,2
3fe,2
3ffe5,2
ff,2
3fffc,2
3,2
3fdd0,2
3fc0d,2
3fce5,2
3fcf9,2
3fcfe,2
