policy,cpu,workload,instructions,cycles,ipc,cpi,l1_demand_misses,l1_demand_mpki,l2_demand_misses,l2_demand_mpki,memory_requests,memory_requests_per_ki,memory_request_definition,stalled_cycles,memory_stall_cycles,iew_stall_events
lru,0,libquantum proxy,6329837,4597700,1.376739891684973,0.7263536170046717,66034,10.432180165144853,65953,10.419383627098139,65953,10.419383627098139,sum of private L2 demand misses,4480821,5701,5008
lru,1,OMNeT++ proxy,940112,4597700,0.2044744111186028,4.890587504467553,42893,45.625414844188775,8027,8.538344367479619,8027,8.538344367479619,sum of private L2 demand misses,4586082,4057445,514038
random,0,libquantum proxy,6366143,4597700,1.384636448659112,0.7222112352801374,66393,10.429077700579455,66324,10.418239112756343,66324,10.418239112756343,sum of private L2 demand misses,4477956,6290,4745
random,1,OMNeT++ proxy,1028986,4597700,0.22380451095112774,4.468185184249348,48288,46.92775217544262,8872,8.622080378158692,8872,8.622080378158692,sum of private L2 demand misses,4585283,4039678,531591
srrip,0,libquantum proxy,6351515,4597700,1.3814548578637145,0.7238745401687628,66239,10.428850439619524,66173,10.418459217997595,66173,10.418459217997595,sum of private L2 demand misses,4479906,5812,3434
srrip,1,OMNeT++ proxy,944552,4597700,0.20544011136002785,4.867598607593864,43152,45.68515020877622,8071,8.544791604908994,8071,8.544791604908994,sum of private L2 demand misses,4586054,4061465,490196
