schema_version,profiler_name,sample_index,tick,retired_macro_insts,pc,stack_depth,stack_addresses
1,system.guest_stack_profilers1,1269,3002562705,1269000,0xc8ab4,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8ab4
1,system.guest_stack_profilers1,1270,3003253050,1270000,0xc8a4c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a4c
1,system.guest_stack_profilers1,1271,3004146105,1271000,0xc8eec,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8eec
1,system.guest_stack_profilers1,1272,3004647660,1272000,0xc8ee8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8ee8
1,system.guest_stack_profilers1,1273,3004723785,1273000,0xc8f16,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f16
1,system.guest_stack_profilers1,1274,3004814265,1274000,0xc8a3c,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a3c
1,system.guest_stack_profilers1,1275,3005298855,1275000,0xc8ee8,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8ee8
1,system.guest_stack_profilers1,1276,3006208440,1276000,0xc8f46,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f46
1,system.guest_stack_profilers1,1277,3006597330,1277000,0xc9c1c,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c1c
1,system.guest_stack_profilers1,1278,3006689115,1278000,0xc8edc,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8edc
1,system.guest_stack_profilers1,1279,3007132815,1279000,0xc9c04,11,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc9c04
1,system.guest_stack_profilers1,1280,3007883625,1280000,0xc8f40,12,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8f40
1,system.guest_stack_profilers1,1281,3008664015,1281000,0xc8b20,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b20
1,system.guest_stack_profilers1,1282,3009164265,1282000,0xc8a44,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a44
1,system.guest_stack_profilers1,1283,3009243435,1283000,0xc8b28,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8b28
1,system.guest_stack_profilers1,1284,3009862005,1284000,0xc8a4e,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a4e
1,system.guest_stack_profilers1,1285,3010115175,1285000,0xc8a48,13,0xd90ce;0x2ab48;0x1856e;0x29944;0x4ce6e;0xc7f4a;0xc790c;0xc7508;0xca164;0xc9842;0xc8ed6;0xc8a2c;0xc8a48
