Hist,count
2f03c,9
30157,9
15577,9
347cb,9
15c0a,9
29292,9
24bd7,9
effd,9
efff,9
254b5,9
263c6,9
26a56,9
26a5e,9
ffff,9
23e5f,9
294bd,9
29555,9
29a94,9
1dffd,9
2a3e3,9
2a57d,9
11555,9
124a5,9
3fff5,9
3ebff,9
3fffa,9
3ff33,9
38c3,9
1ea5,9
6195,9
7050,9
3f407,9
3fbaf,9
bd56,9
29fc7,8
1a1c3,8
2d7a5,8
19dff,8
27f1f,8
19659,8
3fef9,8
34387,8
155d7,8
103bf,8
23c0c,8
1a610,8
3effd,8
274ec,8
77eb,8
3a1c3,8
7819,8
d555,8
f033,8
295e8,8
2100,8
2fc5e,8
22b3b,8
178fb,8
6184,8
2ff2f,8
2ff7f,8
f01f,8
1ffdf,8
19249,8
2ffeb,8
1ffdb,8
3bfeb,8
2ea56,8
15c86,8
33555,8
1e078,8
3805a,8
18f06,8
70e1,8
1322b,8
1fbb0,8
1d555,8
12557,8
256bd,8
3beb,8
12b5e,8
2aae9,8
925f,8
2ba68,8
8618,8
2abad,8
7df8,8
3e954,8
3efbe,8
26eff,8
12f1f,8
36eff,8
bc7d,8
12925,8
2a7f1,8
24a4a,8
2ab43,8
3d527,8
3fb7d,8
2b26a,8
36ff9,8
ebe,8
37feb,7
31218,7
1df7,7
3bb9b,7
3870e,7
925d,7
343bb,7
37ffd,7
37ffe,7
1ffe7,7
2fdff,7
2fdf5,7
3eb12,7
3ff81,7
28f01,7
3bf77,7
1bfb,7
9518,7
27111,7
36f3d,7
931f,7
977f,7
7ca5,7
1555c,7
15572,7
3ff3f,7
155e3,7
3ff9b,7
1570b,7
32be8,7
27e3d,7
1f1fb,7
72be,7
37dff,7
34c42,7
3af65,7
3f27e,7
12493,7
3e5ff,7
253fe,7
3fef5,7
37fdf,7
2eb42,7
3dbf7,7
2aaaf,7
3ffeb,7
1bdf7,7
3ffed,7
3fdf1,7
18655,7
2bad0,7
cd55,7
3faf5,7
840,7
2e9a2,7
3fa54,7
2d077,7
3fff6,7
d6a1,7
1a551,7
2214b,7
2de9a,7
3fe2f,7
1bfff,7
3dfb5,7
2aaba,7
1cf53,7
3955,7
3fbf7,7
12aea,6
2d0e1,6
3fc76,6
1fbff,6
23c33,6
3eadf,6
2d6b5,6
15545,6
2aea9,6
21bdd,6
1f7bf,6
360ff,6
30c3,6
bfff,6
2a7c1,6
155c2,6
4443,6
1f438,6
238e5,6
354b5,6
155e8,6
3e295,6
350ef,6
25135,6
dc66,6
17f6f,6
195d7,6
3e0e3,6
3ef5e,6
2b7d1,6
37ef5,6
37edf,6
92f5,6
37ed5,6
2b81f,6
13ac5,6
38a55,6
395f,6
37cf5,6
3fbe7,6
25adf,6
13f8f,6
13fff,6
0,6
3ef8b,6
24a52,6
9252,6
3fdf3,6
3d0e1,6
3fff,6
14fe3,6
e2f,6
3e7af,6
36fda,6
38baf,6
3fdfb,6
2c1ab,6
31ea5,6
dfff,6
2fdbf,6
3ffce,6
1ff95,6
f8a5,6
175f7,6
3df97,6
efa1,6
1efb7,6
a525,6
e7a9,6
efdb,6
32195,6
1575a,6
15eaa,6
5a2f,6
2f00b,6
314ad,6
effb,6
2ebb5,6
1ea77,6
3055f,6
5adf,6
1ea7b,6
1ea7f,6
18610,6
17015,6
2fdb6,6
4891,6
1f175,6
3f1fb,6
3afc5,6
3f7cf,6
2f8bf,6
dfdb,6
17fcf,6
5f55,6
2fbf0,6
56ff,6
5e80,6
335ff,6
33652,6
2fd7f,6
1cf52,5
2f7fe,5
2f6ff,5
13cec,5
2577f,5
2efff,5
25a2f,5
3f7ed,5
18555,5
17fff,5
1d65d,5
25fff,5
2ffdf,5
2ab24,5
37fcf,5
2fdf9,5
37f75,5
2fede,5
1c387,5
253ff,5
3f7ea,5
29547,5
2ae85,5
1d0ef,5
2fd01,5
2f015,5
3fdec,5
17df9,5
1fbb1,5
2adf0,5
2f53a,5
3f154,5
35e83,5
15559,5
2820e,5
2e55a,5
1aaac,5
357f0,5
1f57f,5
76e3,5
33db7,5
33f3f,5
155df,5
2d6ff,5
35ec5,5
